gene_ID	Name	moduleColor	MM	Functional_Category	biological_process	molecular_function
gene:Rv3700c	egtE	grey60	0.899158174	NULL	sulfur compound metabolic process, cellular modified amino acid metabolic process	lyase activity, sulfur compound metabolic process, cellular modified amino acid metabolic process, transferase activity
gene:Rv2047c	Rv2047c	grey60	0.869641945	conserved hypotheticals	NA	lyase activity, transferase activity
gene:Rv2208	cobS	grey60	0.857071236	intermediary metabolism and respiration	vitamin metabolic process	transferase activity
gene:Rv3297	nei	grey60	0.853616672	information pathways	NA	NA
gene:Rv0012	Rv0012	grey60	0.492437833	cell wall and cell processes	NA	NA
gene:Rv0742	Rv0742	grey60	0.902663665	NULL	NA	NA
gene:Rv3702c	egtC	grey60	0.798456293	NULL	sulfur compound metabolic process, cellular modified amino acid metabolic process, cellular amino acid metabolic process	catalytic activity, acting on a protein, hydrolase activity
gene:Rv3814c	Rv3814c	grey60	0.447792305	intermediary metabolism and respiration	lipid metabolic process	transferase activity
gene:Rv3593	lpqF	ivory	0.885856156	cell wall and cell processes	NA	hydrolase activity
gene:Rv0562	grcC1	ivory	0.699379272	intermediary metabolism and respiration	lipid metabolic process	transferase activity
gene:Rv0956	purN	ivory	0.798326393	intermediary metabolism and respiration	cellular modified amino acid metabolic process, carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process	transferase activity
gene:Rv1561	vapC11	ivory	0.584138737	virulence, detoxification, adaptation	NA	catalytic activity, acting on RNA, hydrolase activity
gene:Rv2812	Rv2812	ivory	0.445342816	insertion seqs and phages	NA	NA
gene:Rv2759c	vapC42	ivory	0.694300502	virulence, detoxification, adaptation	NA	catalytic activity, acting on RNA, hydrolase activity
gene:Rv3579c	Rv3579c	ivory	0.781205727	intermediary metabolism and respiration	NA	catalytic activity, acting on RNA, transferase activity, RNA binding
gene:Rv3845	Rv3845	ivory	0.428128358	conserved hypotheticals	NA	NA
gene:Rv2424c	Rv2424c	ivory	0.787497425	insertion seqs and phages	DNA recombination	catalytic activity, acting on DNA, DNA binding
gene:Rv1336	cysM	ivory	0.558622794	intermediary metabolism and respiration	sulfur compound metabolic process, cellular amino acid metabolic process	transferase activity, sulfur compound metabolic process, cellular amino acid metabolic process, lyase activity
gene:Rv0187	Rv0187	ivory	0.694744167	intermediary metabolism and respiration	NA	transferase activity
gene:Rv1420	uvrC	ivory	0.798194667	information pathways	DNA repair	DNA binding, catalytic activity, acting on DNA, hydrolase activity
gene:Rv2103c	vapC37	ivory	0.684379569	virulence, detoxification, adaptation	NA	catalytic activity, acting on RNA, hydrolase activity
gene:Rv2807	Rv2807	ivory	0.684468398	conserved hypotheticals	NA	NA
gene:Rv3899c	Rv3899c	ivory	0.91199426	conserved hypotheticals	NA	NA
gene:Rv3673c	Rv3673c	ivory	0.874637941	intermediary metabolism and respiration	protein-containing complex assembly	oxidoreductase activity
gene:Rv3721c	dnaZX	ivory	0.872903455	information pathways	NA	NA
gene:Rv0240	vapC24	ivory	0.72048984	virulence, detoxification, adaptation	NA	catalytic activity, acting on RNA, hydrolase activity
gene:Rv2242	Rv2242	ivory	0.673989335	conserved hypotheticals	NA	NA
gene:Rv1617	pykA	ivory	0.640035161	intermediary metabolism and respiration	NA	NA
gene:Rv0301	vapC2	ivory	0.841241998	virulence, detoxification, adaptation	NA	catalytic activity, acting on RNA, hydrolase activity
gene:Rv0964c	Rv0964c	ivory	0.786999374	conserved hypotheticals	NA	NA
gene:Rv2647	Rv2647	ivory	0.664819533	insertion seqs and phages	NA	NA
gene:Rv1296	thrB	ivory	0.817913149	intermediary metabolism and respiration	cellular amino acid metabolic process	transferase activity
gene:Rv2924c	fpg	ivory	0.853134457	information pathways	NA	NA
gene:Rv3653	PE_PGRS61	lightcyan	0.643645789	PE/PPE	NA	NA
gene:Rv2253	Rv2253	lightcyan	0.449045132	cell wall and cell processes	NA	NA
gene:Rv0735	sigL	lightcyan	0.575895921	information pathways	regulation of transcription, DNA-templated, transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv2828c	Rv2828c	lightcyan	0.537648491	conserved hypotheticals	NA	NA
gene:Rv3520c	Rv3520c	lightcyan	0.635916607	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv2252	Rv2252	lightcyan	0.646404704	lipid metabolism	NA	NA
gene:Rv3230c	Rv3230c	lightcyan	0.887640446	intermediary metabolism and respiration	generation of precursor metabolites and energy, lipid metabolic process	generation of precursor metabolites and energy, oxidoreductase activity
gene:Rv1066	Rv1066	lightcyan	0.726379788	conserved hypotheticals	NA	transferase activity
gene:Rv2813	Rv2813	lightcyan	0.384168845	conserved hypotheticals	NA	NA
gene:Rv3602c	panC	lightcyan	0.600748088	intermediary metabolism and respiration	cellular amino acid metabolic process, vitamin metabolic process, cellular modified amino acid metabolic process	ligase activity
gene:Rv3705c	Rv3705c	lightcyan	0.834738839	conserved hypotheticals	NA	NA
gene:Rv1789	PPE26	lightcyan	0.862357339	PE/PPE	NA	NA
gene:Rv2251	Rv2251	lightcyan	0.622529069	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv0414c	thiE	lightcyan	0.667316484	intermediary metabolism and respiration	sulfur compound metabolic process, vitamin metabolic process	transferase activity
gene:Rv0383c	Rv0383c	lightcyan	0.642176144	cell wall and cell processes	NA	NA
gene:Rv3562	fadE31	lightcyan	0.634107879	lipid metabolism	NA	oxidoreductase activity
gene:Rv3658c	Rv3658c	lightcyan	0.929141315	cell wall and cell processes	NA	NA
gene:Rv3561	fadD3	lightcyan	0.659848739	lipid metabolism	lipid metabolic process	ligase activity
gene:Rv0437c	psd	lightcyan	0.527881558	lipid metabolism	lipid metabolic process	lyase activity
gene:Rv3139	fadE24	lightcyan	0.482802487	lipid metabolism	NA	oxidoreductase activity
gene:Rv0972c	fadE12	lightcyan	0.79405684	lipid metabolism	NA	oxidoreductase activity
gene:Rv1557	mmpL6	lightcyan	0.740253408	cell wall and cell processes	NA	NA
gene:Rv2413c	Rv2413c	lightcyan	0.785269412	conserved hypotheticals	DNA replication	DNA binding, catalytic activity, acting on DNA, transferase activity
gene:Rv2250A	Rv2250A	lightcyan	0.551739486	intermediary metabolism and respiration	NA	NA
gene:Rv3219	whiB1	lightcyan	0.525362085	regulatory proteins	regulation of transcription, DNA-templated	DNA binding, catalytic activity, acting on a protein, oxidoreductase activity
gene:Rv3532	PPE61	lightcyan	0.597775038	PE/PPE	NA	NA
gene:Rv3563	fadE32	lightcyan	0.347663247	lipid metabolism	NA	oxidoreductase activity
gene:Rv1790	PPE27	lightcyan	0.580011397	PE/PPE	NA	NA
gene:Rv3657c	Rv3657c	lightcyan	0.859105955	cell wall and cell processes	NA	NA
gene:Rv2988c	leuC	lightcyan	0.788798331	intermediary metabolism and respiration	cellular amino acid metabolic process	lyase activity
gene:Rv2989	Rv2989	lightcyan	0.639621868	regulatory proteins	regulation of transcription, DNA-templated	DNA binding, regulation of transcription, DNA-templated
gene:Rv0146	Rv0146	lightcyan	0.683592286	lipid metabolism	NA	transferase activity
gene:Rv2055c	rpsR2	lightcyan	0.62619417	information pathways	NA	ribosome, structural molecule activity, RNA binding
gene:Rv3552	Rv3552	lightcyan	0.662716044	intermediary metabolism and respiration	NA	NA
gene:Rv1655	argD	lightcyan	0.30364349	intermediary metabolism and respiration	cellular amino acid metabolic process	transferase activity
gene:Rv0093c	Rv0093c	lightcyan	0.693236169	cell wall and cell processes	NA	NA
gene:Rv1146	Rv1146	lightcyan	0.532011887	NULL	NA	NA
gene:Rv3704c	gshA	lightcyan	0.760836198	intermediary metabolism and respiration	NA	NA
gene:Rv0973c	accA2	lightcyan	0.85991613	lipid metabolism	NA	ligase activity
gene:Rv0001	dnaA	lightcyan	0.682844945	information pathways	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, DNA replication	DNA binding, hydrolase activity
gene:Rv1658	argG	lightcyan	0.545687882	intermediary metabolism and respiration	cellular amino acid metabolic process, nitrogen cycle metabolic process, cellular modified amino acid metabolic process	ligase activity
gene:Rv3229c	desA3	lightcyan	0.922090483	lipid metabolism	lipid metabolic process	oxidoreductase activity
gene:Rv1159	pimE	lightcyan	0.438045418	cell wall and cell processes	carbohydrate derivative metabolic process, lipid metabolic process	transferase activity
gene:Rv0974c	accD2	lightcyan	0.840258547	lipid metabolism	cell wall organization or biogenesis, lipid metabolic process, cellular amino acid metabolic process	ligase activity, transferase activity
gene:Rv0279c	PE_PGRS4	lightcyan	0.835638563	PE/PPE	NA	NA
gene:Rv3123	Rv3123	lightcyan	0.709510386	conserved hypotheticals	NA	NA
gene:Rv3703c	etgB	lightcyan	0.647309557	NULL	NA	NA
gene:Rv2622	Rv2622	lightcyan	0.436859412	intermediary metabolism and respiration	NA	transferase activity
gene:Rv0822c	Rv0822c	lightcyan	0.917175882	conserved hypotheticals	NA	NA
gene:Rv3328c	sigJ	lightcyan	0.738394365	information pathways	transcription, DNA-templated, regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv1243c	PE_PGRS23	lightcyan	0.861795056	PE/PPE	NA	NA
gene:Rv3752c	Rv3752c	lightcyan	0.901220423	intermediary metabolism and respiration	NA	NA
gene:Rv2987c	leuD	lightcyan	0.77598869	intermediary metabolism and respiration	cellular amino acid metabolic process	lyase activity
gene:Rv0859	Rv0859	lightcyan	0.756295586	NULL	NA	NA
gene:Rv1459c	Rv1459c	lightcyan	0.898781929	cell wall and cell processes	NA	transferase activity
gene:Rv1094	desA2	lightcyan	0.77769162	lipid metabolism	lipid metabolic process	oxidoreductase activity
gene:Rv0975c	fadE13	lightcyan	0.841207547	lipid metabolism	NA	oxidoreductase activity
gene:Rv1856c	Rv1856c	lightcyan	0.905741976	intermediary metabolism and respiration	lipid metabolic process	oxidoreductase activity
gene:Rv0839	Rv0839	lightcyan	0.624299937	conserved hypotheticals	NA	transferase activity
gene:Rv2388c	hemN	lightcyan	0.830455459	intermediary metabolism and respiration	NA	NA
gene:Rv2840c	Rv2840c	lightcyan	0.725374066	conserved hypotheticals	NA	NA
gene:Rv1441c	PE_PGRS26	lightcyan	0.591877413	PE/PPE	NA	NA
gene:Rv3564	fadE33	lightcyan	0.62825551	lipid metabolism	NA	NA
gene:Rv0976c	Rv0976c	lightcyan	0.863956301	conserved hypotheticals	NA	NA
gene:Rv0824c	desA1	lightcyan	0.79653341	lipid metabolism	lipid metabolic process	oxidoreductase activity
gene:Rv0971c	echA7	lightcyan	0.841235274	lipid metabolism	NA	NA
gene:Rv3551	Rv3551	lightcyan	0.766690535	intermediary metabolism and respiration	NA	NA
gene:Rv0679c	Rv0679c	lightcyan	0.507982769	conserved hypotheticals	NA	NA
gene:Rv0145	Rv0145	lightcyan	0.878581757	lipid metabolism	NA	transferase activity
gene:Rv0484c	Rv0484c	lightcyan	0.834864631	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv2024c	Rv2024c	lightcyan	0.625455901	conserved hypotheticals	NA	DNA binding, hydrolase activity
gene:Rv0264c	Rv0264c	lightcyan	0.482950854	conserved hypotheticals	NA	hydrolase activity
gene:Rv1657	argR	lightcyan	0.393476707	regulatory proteins	protein-containing complex assembly, regulation of transcription, DNA-templated, cellular amino acid metabolic process	DNA binding, regulation of transcription, DNA-templated
gene:Rv2046	lppI	lightcyan	0.376632652	cell wall and cell processes	NA	NA
gene:Rv3553	Rv3553	lightcyan	0.719001637	intermediary metabolism and respiration	NA	NA
gene:Rv0823c	Rv0823c	lightcyan	0.94256635	regulatory proteins	NA	NA
gene:Rv2724c	fadE20	lightcyan	0.821186607	lipid metabolism	lipid metabolic process	oxidoreductase activity
gene:Rv3440c	Rv3440c	lightcyan	0.455197554	conserved hypotheticals	NA	NA
gene:Rv2328	PE23	lightcyan	0.593883183	PE/PPE	NA	NA
gene:Rv3488	Rv3488	lightcyan1	0.788878648	conserved hypotheticals	NA	DNA binding
gene:Rv2928	tesA	lightcyan1	0.908828449	lipid metabolism	cell wall organization or biogenesis, lipid metabolic process	hydrolase activity
gene:Rv2956	Rv2956	lightcyan1	0.821675332	conserved hypotheticals	NA	transferase activity
gene:Rv1837c	glcB	lightcyan1	0.740567124	intermediary metabolism and respiration	carbohydrate metabolic process, generation of precursor metabolites and energy, carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process	transferase activity
gene:Rv3809c	glf	lightcyan1	0.614215482	cell wall and cell processes	cell wall organization or biogenesis, carbohydrate metabolic process	isomerase activity
gene:Rv3316	sdhC	lightcyan1	0.66836322	intermediary metabolism and respiration	generation of precursor metabolites and energy	generation of precursor metabolites and energy, oxidoreductase activity
gene:Rv1240	mdh	lightcyan1	0.759049334	intermediary metabolism and respiration	carbohydrate metabolic process, generation of precursor metabolites and energy	oxidoreductase activity
gene:Rv2198c	mmpS3	lightcyan1	0.761951061	cell wall and cell processes	NA	NA
gene:Rv0634B	rpmG2	lightcyan1	0.88898474	information pathways	NA	ribosome, structural molecule activity
gene:Rv3442c	rpsI	lightcyan1	0.891943539	information pathways	NA	RNA binding, ribosome, structural molecule activity
gene:Rv0130	htdZ	lightcyan1	0.84341754	intermediary metabolism and respiration	lipid metabolic process	lyase activity
gene:Rv0055	rpsR1	lightcyan1	0.692395475	information pathways	NA	ribosome, structural molecule activity, RNA binding
gene:Rv2960c	Rv2960c	lightcyan1	0.869712628	conserved hypotheticals	NA	NA
gene:Rv0867c	rpfA	lightcyan1	0.675604354	cell wall and cell processes	NA	hydrolase activity
gene:Rv3400	Rv3400	lightcyan1	0.887444791	intermediary metabolism and respiration	NA	NA
gene:Rv3443c	rplM	lightcyan1	0.849933724	information pathways	NA	RNA binding, ribosome, structural molecule activity
gene:Rv2735c	Rv2735c	lightcyan1	0.710168418	conserved hypotheticals	NA	NA
gene:Rv0948c	Rv0948c	lightcyan1	0.79264269	intermediary metabolism and respiration	cellular amino acid metabolic process	isomerase activity
gene:Rv1906c	Rv1906c	lightcyan1	0.494943908	conserved hypotheticals	NA	NA
gene:Rv2758c	vapB21	lightcyan1	0.632116786	virulence, detoxification, adaptation	NA	NA
gene:Rv3857c	Rv3857c	lightcyan1	0.703964007	cell wall and cell processes	NA	NA
gene:Rv0321	dcd	lightcyan1	0.531327628	intermediary metabolism and respiration	nucleobase-containing small molecule metabolic process, carbohydrate derivative metabolic process	hydrolase activity
gene:Rv0717	rpsN1	lightcyan1	0.687186764	information pathways	NA	NA
gene:Rv2274A	mazE8	lightcyan1	0.636511414	virulence, detoxification, adaptation	NA	NA
gene:Rv3374	echA18.1	lightcyan1	0.606000643	lipid metabolism	NA	NA
gene:Rv2404c	lepA	lightcyan1	0.648192831	intermediary metabolism and respiration	NA	GTPase activity, hydrolase activity, translation regulator activity
gene:Rv0466	Rv0466	lightcyan1	0.746636698	conserved hypotheticals	lipid metabolic process	hydrolase activity
gene:Rv3893c	PE36	lightcyan1	0.527187515	PE/PPE	NA	NA
gene:Rv2274c	mazF8	lightcyan1	0.552711765	virulence, detoxification, adaptation	NA	hydrolase activity
gene:Rv3135	PPE50	lightcyan1	0.629295839	PE/PPE	NA	NA
gene:Rv3020c	esxS	lightgreen	0.602519459	cell wall and cell processes	NA	NA
gene:Rv0395	Rv0395	lightgreen	0.466699013	conserved hypotheticals	NA	NA
gene:Rv1212c	glgA	lightgreen	0.608266159	intermediary metabolism and respiration	NA	NA
gene:Rv2269c	Rv2269c	lightgreen	0.453494449	conserved hypotheticals	NA	NA
gene:Rv2690c	Rv2690c	lightgreen	0.641815174	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv1888A	Rv1888A	lightgreen	0.741033442	conserved hypotheticals	NA	transferase activity
gene:Rv2617c	Rv2617c	lightgreen	0.485823266	cell wall and cell processes	NA	NA
gene:Rv2123	PPE37	lightgreen	0.696365507	PE/PPE	NA	NA
gene:Rv3833	Rv3833	lightgreen	0.368552845	regulatory proteins	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv1720c	vapC12	lightgreen	0.695165953	virulence, detoxification, adaptation	NA	catalytic activity, acting on RNA, hydrolase activity
gene:Rv3098A	Rv3098A	lightgreen	0.478050266	virulence, detoxification, adaptation	NA	NA
gene:Rv0849	Rv0849	lightgreen	0.86978073	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv0045c	Rv0045c	lightgreen	0.409169665	lipid metabolism	NA	hydrolase activity
gene:Rv0150c	Rv0150c	lightgreen	0.689297345	conserved hypotheticals	NA	NA
gene:Rv0267	narU	lightgreen	0.484921181	cell wall and cell processes	transmembrane transport, nitrogen cycle metabolic process	transmembrane transport, transporter activity
gene:Rv0353	hspR	lightgreen	0.619270938	virulence, detoxification, adaptation	regulation of transcription, DNA-templated	DNA binding
gene:Rv0961	Rv0961	lightgreen	0.534518994	cell wall and cell processes	NA	NA
gene:Rv3501c	yrbE4A	lightgreen	0.65448276	virulence, detoxification, adaptation	NA	transporter activity
gene:Rv1443c	Rv1443c	lightgreen	0.421685143	conserved hypotheticals	NA	NA
gene:Rv1742	Rv1742	lightgreen	0.681293744	unknown	NA	NA
gene:Rv2717c	Rv2717c	lightgreen	0.448532621	conserved hypotheticals	NA	isomerase activity
gene:Rv0190	Rv0190	lightgreen	0.809107635	conserved hypotheticals	NA	NA
gene:Rv0850	Rv0850	lightgreen	0.850475361	insertion seqs and phages	NA	NA
gene:Rv1250	Rv1250	lightgreen	0.599340679	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv0987	Rv0987	lightgreen	0.619307856	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv2577	Rv2577	lightgreen	0.745476724	conserved hypotheticals	NA	hydrolase activity
gene:Rv3558	PPE64	lightgreen	0.488687454	PE/PPE	NA	NA
gene:Rv3462c	infA	lightgreen	0.71576665799999994	information pathways	NA	RNA binding, translation regulator activity
gene:Rv0128	Rv0128	lightgreen	0.726683224	cell wall and cell processes	NA	NA
gene:Rv1766	Rv1766	lightgreen	0.75230575	conserved hypotheticals	regulation of transcription, DNA-templated	DNA binding
gene:Rv1052	Rv1052	lightgreen	0.676817407	conserved hypotheticals	NA	NA
gene:Rv0396	Rv0396	lightgreen	0.702624008	conserved hypotheticals	NA	NA
gene:Rv1744c	Rv1744c	lightgreen	0.787204949	cell wall and cell processes	NA	NA
gene:Rv0725c	Rv0725c	lightgreen	0.660225015	conserved hypotheticals	NA	transferase activity
gene:Rv1529	fadD24	lightgreen	0.74864746	lipid metabolism	lipid metabolic process	transferase activity, ligase activity
gene:Rv1518	Rv1518	lightgreen	0.759229111	conserved hypotheticals	NA	NA
gene:Rv1959c	parE1	lightgreen	0.599815126	virulence, detoxification, adaptation	NA	NA
gene:Rv1827	garA	lightgreen	0.725490353	conserved hypotheticals	protein modification process	RNA binding
gene:Rv0349	Rv0349	lightgreen	0.792138266	conserved hypotheticals	NA	NA
gene:Rv2423	Rv2423	lightgreen	0.831742543	conserved hypotheticals	NA	NA
gene:Rv3397c	phyA	lightgreen	0.532786792	intermediary metabolism and respiration	NA	NA
gene:Rv1948c	Rv1948c	lightgreen	0.805249227	conserved hypotheticals	NA	NA
gene:Rv1050	Rv1050	lightgreen	0.538399456	intermediary metabolism and respiration	NA	NA
gene:Rv2300c	Rv2300c	lightgreen	0.801474996	conserved hypotheticals	NA	hydrolase activity
gene:Rv1267c	embR	lightgreen	0.6688784	regulatory proteins	regulation of transcription, DNA-templated, signaling, intracellular	DNA binding, GTPase activity, hydrolase activity
gene:Rv2964	purU	lightgreen	0.876958507	intermediary metabolism and respiration	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process	hydrolase activity, transferase activity
gene:Rv3191c	Rv3191c	lightgreen	0.457717231	insertion seqs and phages	NA	catalytic activity, acting on DNA
gene:Rv1117	Rv1117	lightgreen	0.370818529	conserved hypotheticals	NA	NA
gene:Rv2416c	eis	lightgreen	0.835567512	virulence, detoxification, adaptation	carbohydrate derivative metabolic process	transferase activity
gene:Rv2824c	Rv2824c	lightgreen	0.771274711	conserved hypotheticals	NA	NA
gene:Rv2473	Rv2473	lightgreen	0.807884392	cell wall and cell processes	NA	NA
gene:Rv1917c	PPE34	lightgreen	0.812817796	PE/PPE	NA	NA
gene:Rv1358	Rv1358	lightgreen	0.829892742	regulatory proteins	regulation of transcription, DNA-templated, signaling, intracellular, nucleobase-containing small molecule metabolic process	DNA binding, lyase activity, cyclase activity
gene:Rv2528c	mrr	lightgreen	0.54817997	information pathways	defense response to other organism	catalytic activity, acting on DNA, hydrolase activity, DNA binding
gene:Rv2962c	Rv2962c	lightgreen	0.897854391	intermediary metabolism and respiration	carbohydrate derivative metabolic process, lipid metabolic process	transferase activity
gene:Rv0759c	Rv0759c	lightgreen	0.755273701	conserved hypotheticals	NA	hydrolase activity
gene:Rv1051c	Rv1051c	lightgreen	0.836629927	conserved hypotheticals	NA	NA
gene:Rv0109	PE_PGRS1	lightsteelblue1	0.616162682	PE/PPE	NA	NA
gene:Rv0755c	PPE12	lightsteelblue1	0.803579207	PE/PPE	NA	NA
gene:Rv2333c	stp	lightsteelblue1	0.839424258	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv0157A	Rv0157A	lightsteelblue1	0.793651483	conserved hypotheticals	NA	NA
gene:Rv2632c	Rv2632c	lightsteelblue1	0.961631163	conserved hypotheticals	NA	NA
gene:Rv0502	Rv0502	lightsteelblue1	0.688457311	conserved hypotheticals	NA	transferase activity
gene:Rv3633	Rv3633	lightsteelblue1	0.884817651	conserved hypotheticals	NA	NA
gene:Rv1365c	rsfA	lightsteelblue1	0.903594961	information pathways	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated
gene:Rv2633c	Rv2633c	lightsteelblue1	0.945285592	conserved hypotheticals	NA	NA
gene:Rv0851c	Rv0851c	lightsteelblue1	0.538690674	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv1833c	Rv1833c	lightsteelblue1	0.405699765	intermediary metabolism and respiration	NA	NA
gene:Rv1877	Rv1877	lightsteelblue1	0.552785972	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv3491	Rv3491	lightsteelblue1	0.851984183	conserved hypotheticals	NA	NA
gene:Rv2301	cut2	lightsteelblue1	0.725863437	cell wall and cell processes	NA	hydrolase activity
gene:Rv1284	canA	lightsteelblue1	0.655867398	intermediary metabolism and respiration	NA	NA
gene:Rv0141c	Rv0141c	lightsteelblue1	0.832795643	conserved hypotheticals	NA	NA
gene:Rv2469c	Rv2469c	lightsteelblue1	0.822435276	conserved hypotheticals	NA	NA
gene:Rv3788	Rv3788	lightsteelblue1	0.470102566	conserved hypotheticals	transcription, DNA-templated, regulation of transcription, DNA-templated	DNA binding
gene:Rv3390	lpqD	lightsteelblue1	0.66892917	cell wall and cell processes	NA	isomerase activity
gene:Rv3680	Rv3680	lightsteelblue1	0.524449943	cell wall and cell processes	NA	hydrolase activity
gene:Rv0480c	Rv0480c	lightyellow	0.766673936	intermediary metabolism and respiration	NA	hydrolase activity
gene:Rv1778c	Rv1778c	lightyellow	0.632904256	conserved hypotheticals	NA	NA
gene:Rv2683	Rv2683	lightyellow	0.695849163	conserved hypotheticals	NA	NA
gene:Rv0921	Rv0921	lightyellow	0.538675293	insertion seqs and phages	DNA recombination	DNA binding, DNA recombination, catalytic activity, acting on DNA
gene:Rv2201	asnB	lightyellow	0.735949299	intermediary metabolism and respiration	cellular amino acid metabolic process	ligase activity
gene:Rv3438	Rv3438	lightyellow	0.491049311	conserved hypotheticals	NA	NA
gene:Rv2931	ppsA	lightyellow	0.403446105	lipid metabolism	cell wall organization or biogenesis, lipid metabolic process	transferase activity, oxidoreductase activity, lipid metabolic process, molecular carrier activity
gene:Rv0457c	Rv0457c	lightyellow	0.387552374	intermediary metabolism and respiration	NA	catalytic activity, acting on a protein, hydrolase activity
gene:Rv1339	Rv1339	lightyellow	0.709845728	conserved hypotheticals	tRNA metabolic process	tRNA metabolic process, catalytic activity, acting on RNA, hydrolase activity
gene:Rv1635c	Rv1635c	lightyellow	0.788581863	cell wall and cell processes	NA	transferase activity
gene:Rv0645c	mmaA1	lightyellow	0.678013499	lipid metabolism	cell wall organization or biogenesis, lipid metabolic process	isomerase activity, transferase activity
gene:Rv1317c	alkA	lightyellow	0.655993245	information pathways	DNA repair, regulation of transcription, DNA-templated	catalytic activity, acting on DNA, hydrolase activity, DNA binding, regulation of transcription, DNA-templated, transferase activity
gene:Rv3830c	Rv3830c	lightyellow	0.507543625	regulatory proteins	NA	DNA binding
gene:Rv1058	fadD14	lightyellow	0.348640849	lipid metabolism	NA	ligase activity
gene:Rv2428	ahpC	lightyellow	0.765756162	virulence, detoxification, adaptation	detoxification	oxidoreductase activity, antioxidant activity
gene:Rv2429	ahpD	lightyellow	0.81642175	virulence, detoxification, adaptation	detoxification	oxidoreductase activity, antioxidant activity
gene:Rv0420c	Rv0420c	lightyellow	0.664091821	cell wall and cell processes	NA	NA
gene:Rv2453c	mobA	lightyellow	0.615453207	intermediary metabolism and respiration	NA	transferase activity
gene:Rv3436c	glmS	lightyellow	0.499897913	intermediary metabolism and respiration	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, protein glycosylation, cellular amino acid metabolic process, carbohydrate metabolic process	transferase activity
gene:Rv0904c	accD3	lightyellow	0.438772227	lipid metabolism	cell wall organization or biogenesis, lipid metabolic process	ligase activity, transferase activity
gene:Rv2368c	phoH1	lightyellow	0.346353237	intermediary metabolism and respiration	NA	NA
gene:Rv3724B	cut5b	lightyellow	0.752241426	cell wall and cell processes	NA	hydrolase activity
gene:Rv2226	Rv2226	lightyellow	0.595770651	conserved hypotheticals	NA	NA
gene:Rv2450c	rpfE	lightyellow	0.781277439	cell wall and cell processes	NA	hydrolase activity
gene:Rv1854c	ndh	lightyellow	0.909494749	intermediary metabolism and respiration	generation of precursor metabolites and energy	oxidoreductase activity
gene:Rv3240c	secA1	lightyellow	0.654793388	cell wall and cell processes	transmembrane transport, intracellular protein transport	hydrolase activity, transmembrane transport, transporter activity
gene:Rv3484	Rv3484	lightyellow	0.69203963	NULL	NA	NA
gene:Rv2727c	miaA	lightyellow	0.743893436	intermediary metabolism and respiration	tRNA metabolic process	catalytic activity, acting on RNA, transferase activity
gene:Rv0361	Rv0361	lightyellow	0.630086899	cell wall and cell processes	NA	NA
gene:Rv0440	groEL2	lightyellow	0.649307914	virulence, detoxification, adaptation	protein folding	protein folding chaperone, isomerase activity
gene:Rv2518c	ldtB	lightyellow	0.755909011	cell wall and cell processes	carbohydrate derivative metabolic process, cell wall organization or biogenesis	catalytic activity, acting on a protein, hydrolase activity, transferase activity
gene:Rv2930	fadD26	lightyellow	0.724058161	lipid metabolism	cell wall organization or biogenesis, lipid metabolic process	transferase activity, ligase activity
gene:Rv2454c	Rv2454c	lightyellow	0.704961843	intermediary metabolism and respiration	NA	NA
gene:Rv1199c	Rv1199c	lightyellow	0.407395582	insertion seqs and phages	DNA recombination	catalytic activity, acting on DNA, DNA binding
gene:Rv1356c	Rv1356c	lightyellow	0.418226881	conserved hypotheticals	NA	NA
gene:Rv0784	Rv0784	lightyellow	0.409403593	conserved hypotheticals	carbohydrate metabolic process	NA
gene:Rv2801c	mazF9	lightyellow	0.605944256	virulence, detoxification, adaptation	mRNA metabolic process	catalytic activity, acting on RNA, hydrolase activity, DNA binding
gene:Rv2455c	Rv2455c	lightyellow	0.828445052	intermediary metabolism and respiration	NA	NA
gene:Rv0727c	fucA	lightyellow	0.667859011	intermediary metabolism and respiration	carbohydrate metabolic process	lyase activity
gene:Rv0814c	Rv0814c	lightyellow	0.773007693	NULL	NA	NA
